Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,40,9/25/2016,10/1/2016,4585,101
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,39,9/18/2016,9/24/2016,21336,515
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,5,1/24/2016,1/30/2016,60767,1455
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,23,5/29/2016,6/4/2016,12094,279
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,24,6/5/2016,6/11/2016,1141,26
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,1,1/1/2016,1/2/2016,34788,2374
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,37,9/4/2016,9/10/2016,5316,98
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,1,1/1/2016,1/2/2016,2656,215
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,28,7/3/2016,7/9/2016,10853,275
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,45,10/30/2016,11/5/2016,22929,511
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,25,6/12/2016,6/18/2016,4069,83
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,12,3/13/2016,3/19/2016,1162,33
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,38,9/11/2016,9/17/2016,5128,98
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,19,5/1/2016,5/7/2016,8727,178
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,20,5/8/2016,5/14/2016,11504,263
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,50,12/4/2016,12/10/2016,29850,583
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,37,9/4/2016,9/10/2016,12503,551
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,14,3/27/2016,4/2/2016,2078,48
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,20,5/8/2016,5/14/2016,8558,197
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,30,7/17/2016,7/23/2016,24272,964
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,46,11/6/2016,11/12/2016,12599,253
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,39,9/18/2016,9/24/2016,11393,230
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,50,12/4/2016,12/10/2016,10191,200
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,3,1/10/2016,1/16/2016,74789,1798
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,17,4/17/2016,4/23/2016,1126,23
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,18,4/24/2016,4/30/2016,738,21
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,19,5/1/2016,5/7/2016,12557,259
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,8,2/14/2016,2/20/2016,858,19
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,25,6/12/2016,6/18/2016,130437,3026
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,34,8/14/2016,8/20/2016,17677,371
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,5,1/24/2016,1/30/2016,15225,348
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,28,7/3/2016,7/9/2016,16678,400
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,23,5/29/2016,6/4/2016,20878,487
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,4,1/17/2016,1/23/2016,11471,324
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,16,4/10/2016,4/16/2016,2549,41
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,37,9/4/2016,9/10/2016,231095,5215
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,27,6/26/2016,7/2/2016,269927,8064
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,3,1/10/2016,1/16/2016,934,19
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,6,1/31/2016,2/6/2016,4926,108
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,40,9/25/2016,10/1/2016,3614,74
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,9,2/21/2016,2/27/2016,12,2
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,3,1/10/2016,1/16/2016,514,21
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,33,8/7/2016,8/13/2016,10703,268
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,34,8/14/2016,8/20/2016,3468,68
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,32,7/31/2016,8/6/2016,26695,1098
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,7,2/7/2016,2/13/2016,70051,1523
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,10,2/28/2016,3/5/2016,66970,1693
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,34,8/14/2016,8/20/2016,2105,48
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,2,1/3/2016,1/9/2016,9807,290
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,11,3/6/2016,3/12/2016,1145,31
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,34,8/14/2016,8/20/2016,75752,1705
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,26,6/19/2016,6/25/2016,14252,330
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,21,5/15/2016,5/21/2016,76204,1837
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,9,2/21/2016,2/27/2016,17437,336
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,16,4/10/2016,4/16/2016,75790,1850
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,47,11/13/2016,11/19/2016,13517,318
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,22,5/22/2016,5/28/2016,13763,333
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,21,5/15/2016,5/21/2016,68978,1470
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,23,5/29/2016,6/4/2016,10529,262
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,7,2/7/2016,2/13/2016,1409,24
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,40,9/25/2016,10/1/2016,110797,2570
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,50,12/4/2016,12/10/2016,73511,1416
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,38,9/11/2016,9/17/2016,3530,79
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,30,7/17/2016,7/23/2016,62997,1363
